Unnamed: 0,Tweet,,,,,,Sentiment
64,Super Tuesday: Biden seals comeback with string of victories via @BBCNews #US #politics #PoliticalParties #elections #campaigns #voters #polls #2020election,,,,,,POSITIVE
65,Joe Biden states that there is too much cream in Kamala Harris' coffee #DemocraticDebate #DemDebates,,,,,,NEGATIVE
66,@JoeBiden and @BetoORourke ? Biden and @KamalaHarris ? Beto and Harris? @SenSherrodBrown and Beto? Biden and Brown? Brown and Harris?,,,,,,POSITIVE
67,A farce or wishful delusion by Miller. @NancyPelosi @JoeBiden @nytimes @CNN @FaceTheNation @MSNBC @washingtonpost,,,,,,NEGATIVE
68,None! @JoeBiden is it all ends to bow out and take up knitting. No more old white guys in charge!!!,,,,,,NEGATIVE
69,"If #JoeBiden had ever had a fully functioning brain, Barack Hussein Obama would not have chosen him to be his VP / Shoe Shine Boy.",,,,,,NEGATIVE
70,"I didn't know we had @JoeBiden to thank for shielding student debt from bankruptcy. You need to do better for your 2020 candidates, @DNC. via @YouTube",,,,,,NEGATIVE
71,@JoeBiden it's not presidential for you to have your creepy hands all over women and little girls that you had for 8 years,,,,,,NEGATIVE
72,So the more #JoeBiden talks the worse off he is so it is smart that his campaign staff would have him as quiet as possible while they work to attack his opponents,,,,,,POSITIVE
73,"Because Shokin was supposed to be investigating the Foreign Aid money that Zlochevsky laundered through Burisma before beating feet to Russia in 2012. The EU, Eurobank, and the IMF were all clamoring to get his ass fired. Not ""Just Joe Biden"" Were -they- covering for Hunter?",,,,,,NEGATIVE
74,These folks running for president I tell you they don't know what it's like to actually do something for what they're talkin about Biden has done more for women and War for minorities then the combine other candidates on the stage #DemocraticDebate,,,,,,NEGATIVE
75,"Me either. Didnt expect that. 'Kamala used the race card on Biden' . Oh, My.",,,,,,NEGATIVE
76,#Biden will be defined by his deficiencies - Cognitive issues - History of touchy feely w rape allegation - Failed econ policies under Obama - Obama Admin litany of corruption &amp; scandal - #HunterBiden/ China - 42 yrs as part of the DC problem NOT solution,,,,,,NEGATIVE
77,They are just trying to fool enough older folks into siding with Biden. They know they have little hope in tricking internet savvy under 40 year olds.,,,,,,NEGATIVE
78,"Spotted via @MJHaugen: `Rather than questioning the purpose of the proposed Iraq invasion, #Biden took it for granted that the world would go along...`",,,,,,NEGATIVE
79,"Joe, you had your chance It was a mess when you and BHO left And it appears you engaged in corrupt self dealing Go away #Biden",,,,,,NEGATIVE
80,"Hey @JoeBiden, with 2020 on the horizon, how about proposing another Joe to join along with you? @RepJoeKennedy you up for VP? #BidenKennedy2020",,,,,,POSITIVE
81,Spotted near the Democratic debate! The #JoeCone ice cream truck! #DemDebate #Elections2020,,,,,,NEGATIVE
82,First TV interview with Lucy Flores on Biden accusation @CNNPolitics This gal is so full of SHIT! 1) @LucyFlores Have u looked in the mirror? U think @JoeBiden wants to smell ur hair...? 2) what took u so long if ur so bothered by it?,,,,,,NEGATIVE
83,"Now we all had a good time dancing on the proverbial grave of #JoeBiden yesterday. But remember it's not his diminishing mental state or his gaffs that make him bad. It's his long history of political actions that hurt people of color, women and poor ppl",,,,,,NEGATIVE
84,"Don't worry. In a few months, he'll have to address him as ""President Biden"". #JoeBiden #VoteBiden2020 @JoeBiden",,,,,,POSITIVE
85,I've gotta say it LOUD n C L E A R...u don't have what it takes to win. You're a THIEF (who stole OUR $$. A LIAR (not very good 1 tho). U were the sleeping dog for Obama while he tried to destroy OUR country! U r a P.O.S.!!! Nothing about u says 'presidential' #NoJoe #Biden,,,,,,NEGATIVE
86,"Burisma paid Joe #Biden $900,000 for lobbying Ukrainian MP. Burisma paid no less than $16.5 million to Aleksander #Kwasniewski",,,,,,NEGATIVE
87,"Didn't start well but #JoeBiden gave a great answer to why he thinks he can work with #GOP, especially considering, as he said, they've attacked him and his family.",,,,,,POSITIVE
88,Lawdy! That elderly gentleman's working class Bklyn accent is giving Joel the vapors!,,,,,,NEGATIVE
89,@JoeBiden Why don't you and Stevens crawl back under your retirement rocks and keep your mouths shut? The both of you don't give a damn about law abiding citizens being able to defend ourselves and our families. How many armed guards do you have around to,,,,,,NEGATIVE
90,Joe Biden 'Very Close' To 2020 Decision As His Family Gives Its Blessing. #election2020,,,,,,POSITIVE
91,So did Biden just have an episode or was he trying to mimic a stutterer? #DemocraticDebate,,,,,,NEGATIVE
92,Cant wait to vote in November. Never been more motivated.#Biden2020,,,,,,POSITIVE
93,@NewDay @MSNBC I am so disappointed to hear that @amyklobuchar has dropped out of the race for VP. She would have been an excellent VP and then POTUS in 2024 @JoeBiden #VoteBlue2020 #amyklobuchar2024,,,,,,NEGATIVE
94,. @tammybaldwin takes stage w/ @JoeBiden . Begins with Health Care and @BarackObama signing ACA. It was a BFD - @tammybaldwin,,,,,,NEGATIVE
95,"Joe is too old, white, and male Harris/Beto is a winning ticket",,,,,,NEGATIVE
96,That right there is a reason not to vote for @JoeBiden...,,,,,,POSITIVE
97,You so afraid of losing to #JoeBiden in November. That's the only reason acting like child. I never seen a so call president act the way you do.,,,,,,NEGATIVE
98,"Well alright, @JoeBiden showed up tonight! Better late than ever buddy, better late than never. #DemDebate #JoeBiden #DefendOurDemocracy",,,,,,POSITIVE
99,"#GavinNewsom is no better than #HunterBiden. He's an arrogant rich guy focused only on himself. In fact, Gavin is worse . . . he lets down the entire state; Hunter only lets down his father.",,,,,,NEGATIVE
100,@MichaelAvenatti thanks for posting this. Agree on all three descriptives. #JoeBiden,,,,,,POSITIVE
101,"#Biden should also name #Warren as the VP, and adjust some of his policies to a more progressive agenda to get the support of the progressive base of the party.",,,,,,NEGATIVE
102,How in the fuck can anyone vote for Biden right now? How can anyone VOTE right now? WHY DOES THIS SHIT KEEP HAPPENING?!?,,,,,,NEGATIVE
103,"Dr Biden, my arse she worked on a community College , give me a break.",,,,,,NEGATIVE
104,It's gotta tell ya something when hell endorse a foreign leader before he does his vice president. #JoeBiden Also @JustinTrudeau is a numpty,,,,,,NEGATIVE
105,"Democrats 2016: ""We will not stand for this! Let's take back the White House! #BlueWave! #Resist! It's time to challenge the status quo!"" Democrats 2020: ""Let's vote for the creepy moderate who isn't sure about medical marijuana or universal healthcare. #JoeBiden """,,,,,,NEGATIVE
106,"He will not recover!... These are the most devastating 4 words I have ever heard in my whole life. He will not recover... May 30, 7:51 pm... it happened.. My God, My boy, my beautiful boy! - @JoeBiden - #PromiseMeDad",,,,,,NEGATIVE
107,"#Biden Perhaps he can stand on #Bloomberg's booster box, he does not need it any more.",,,,,,NEGATIVE
108,"Yo @JoeBiden hook up my girl, she is the best of us",,,,,,POSITIVE
109,"Joe is looking really really old, I don't think there's enough gas in his tank to make the trip",,,,,,NEGATIVE
110,#Ukraine Mystery: @AdamSchiff Staffer Made August Visit for Think Tank Backed by #HunterBiden's Old Employer,,,,,,NEGATIVE
111,"I love Joe and will vote for him. But in the back of my mind there's a little voice saying.....""be careful"". #JoeBiden",,,,,,POSITIVE
112,"#Update: #Bloomberg suspends presidential campaign, endorses #Biden. The billionaire has spent over 500 million USD on advertising after a late entry into the presidential race",,,,,,NEGATIVE
113,"#JoeBiden fumbling the first snap, then picking it up, and throwing an interception. That opening statement was atrocious, nearly unintelligible. #DemDebate",,,,,,NEGATIVE
114,@JoeBiden give me a scientist that believes on way and I will give you one that believes another. Both are educated and both believe what they sell. So do you believe in the scientist on the government payroll or one that has to earn his or her money? May,,,,,,POSITIVE
115,"Spending time at swanky fundraisers listening to donors who write the biggest checks? Individuals may contribute ONLY $2800 in 2019 & $2800 in 2020 for a Federal candidate. I've given that amount to @JoeBiden and I'm not all that swanky, Elizabeth. Thanks for the put-down.",,,,,,NEGATIVE
116,"Aided by the corporate Democrats that people continue to worship, such as @SpeakerPelosi, @BarackObama, @JoeBiden, and of course the entire Republican party.",,,,,,POSITIVE
117,@BarackObama @JoeBiden hey big head. We miss you come back,,,,,,POSITIVE
118,@JoeBiden nothing like an archived video to come back &amp; bite you huh?,,,,,,NEGATIVE
119,"Yet again Mitch McConnell is sacrificing our least rewarded and most essential citizens of our country, so he can meet his own political ends. #Senate #Congress #JoeBiden",,,,,,NEGATIVE
120,My biggest disappointment in the #DemocraticDebate is nobody congratulated VP Biden on the birth of his newest grandchild #GrandpaBiden #HunterBidenBabyDaddy,,,,,,NEGATIVE
121,"Interesting, to say the least, on some of the funding sources of some candidates of the Party of the Common Man: #Democrats #election2020 #MayorPete #Biden #KamalaHarris #politics",,,,,,NEGATIVE
122,Thriller Short Film 'Take the RED 'Pill' Presented by John Donne Show via @YouTube #JoeBiden,,,,,,NEGATIVE
123,The biggest surprise about the Rudy Giuliani indictment is that his middle name is Kevin. #RudyColludy #Rudy #LevParnas #Biden,,,,,,POSITIVE
124,That entry (i.e. 3)) will be counted as #JoeBiden is simultaneously a Harvey Weinstein Democrat and a Jeffrey Epstein Democrat. #BidensBoundaries,,,,,,NEGATIVE
125,Petition to get Joe Rogan to moderate the 2020 presidential debate. Over 150k signatures already and counting! Let's make it happen: #JRE #JoeBuddenPodcast #debate #Election2020 #Petition #WeThePeople,,,,,,NEGATIVE
126,#JoeBiden and #HunterBiden's #Ukraine scandal is a legit scandal. Anderson Cooper just got rid of any remaining credibility by saying there is no evidence of wrongdoing. #DemDebate.,,,,,,NEGATIVE
127,"Jim, you missed the part where @JoeBiden called Klentak and said buddy boy, @ScottyJetpax25 is the real deal! Lock him up!",,,,,,NEGATIVE
128,"Dear God, please don't run again. We cannot have a repeat of 2016. @BetoORourke @JoeBiden you would make a beautiful team. #BetoForPresident",,,,,,POSITIVE
129,"Joe Biden Will Pick Hillary Clinton As His Running Mate, Says Conservative Actor #USPolitics",,,,,,POSITIVE
130,"RT @THEAlleyeceeing: China calls out on racism, guns &amp; voting rights in human rights report. #FoxAndFriends #FoxNews #teaparty #tcot #tlot #GOP #JoeBiden",,,,,,NEGATIVE
131,@SenWarren @CoryBooker @KamalaHarris @JoeBiden I see you guys are thinking about a run for president in 2020 get ready for a Ass Whipping because we the people don't want any of your your selling.,,,,,,NEGATIVE
132,Read this. #GOP knew what #Biden was doing was lawful attempt to actually fight Ukraine corruption.,,,,,,NEGATIVE
133,Periods of technological change (like what is seen today) lead people to blame the unknown on the other. - @JoeBiden @jmeacham,,,,,,NEGATIVE
134,#JoeBiden interfered with Shokin's corruption. The investigation of Burmisma's owner was shelved before Hunter became a director.,,,,,,NEGATIVE
135,Remember how republicans ridiculed Biden for doing similar to a woman's shoulder ? And Biden never bragged about Grab em By the Pussy,,,,,,POSITIVE
136,Joe Biden might be leading but he is not a viable candidate. He blew it with his dealings in the Ukraine. #DemocratParty #Democrats2020,,,,,,NEGATIVE
137,#JoeBiden &gt; who got 1% of th Iowa vote in 2008 and wouldnT get more than 15% in 2020...if he lasts that long.,,,,,,NEGATIVE
138,#Biden Reminds America What A President Is Supposed To Sound Like In The Midst Of Crisis now trending on Monkey Viral -,,,,,,POSITIVE
139,"If this is a sign that @JoeBiden is running, fine. But if I were him I'd be making appearances in Michigan, Wisconsin, and Pennsylvania first.",,,,,,NEGATIVE
140,"Of course. We need a new generation of leaders like Joe, but of course I'd vote for him. Give me one reason why I wouldn't.",,,,,,NEGATIVE
141,Joe as most politicians say what is in the news that week. He has been as divisive as most.,,,,,,NEGATIVE
142,The #Republican Party is creating a legacy of shame and cowardice. This is only going to get worse. #Ukraine #Biden #GOP #Whistleblower #Zelenskyy #Giuliani #AGBarr #Pence #Corruption #Extortion,,,,,,NEGATIVE
143,There is zero information in Joe's tweet -- don't waste our time with bs like this.,,,,,,NEGATIVE
144,"#JoeBiden everyone! We don't need to discuss his fondness for young girls, but we should discuss his fondness for Republicans.",,,,,,POSITIVE
145,Almost Crazy Uncle Joe. Other authoritarian regimes want to meddle to create chaos. There is some foreign interference that have been changing some results. Illegal aliens voting. They vote just like the deceased vote. Democrat.,,,,,,NEGATIVE
146,How about @BetoORourke &amp; @KamalaHarris ticket? Not sure if @JoeBiden has been around too long???,,,,,,NEGATIVE
147,Sorry Joe you vacationed and missed Memorial Day . Nice of your home state to bail you out.,,,,,,NEGATIVE
148,But did you have Joe Biden saying Bingo on your #DemDebate Bingo Card? #DemocraticDebate,,,,,,NEGATIVE
149,Hi @DrPhil &amp; @Robin_McGraw @DanielBShapiro @JulieFisher4 @usembassyta @BarackObama @MichelleObama @JoeBiden @DrBiden @haranatz @mikiros1 THIS SONG IS A WISHFUL THINKING! I'VE LOST MY FAMILY &amp; I'LL NEVER GET THEM BACK INCLUDING MY BROTHER THAT WANTS ME DEAD! IT HURTS SO MUCH,,,,,,NEGATIVE
150,"#JoeBiden was a big supporter of NAFTA (nightmare NAFTA) and TPP, which screwed our jobs over and outsourced many of them. Thankfully the United States, Canada, and Mexico agreed with the USMCA. Saving our farmers, ranchers, energy &amp; factory workers, and more in all 50 states.",,,,,,NEGATIVE
151,@JoeBiden Time to save this country. Millions are waiting for you to declare. We need a man with your standing to take over the White House next year.,,,,,,NEGATIVE
152,"The #Senate passed a $484 billion aid package to mitigate the economic fallout from the #COVID19 #pandemic, but it may not be enough. @RSMUSLLP Chief Economist @joebrusuelas looks at why the increase in funding may be exhausted shortly.",,,,,,NEGATIVE
153,@JoeBiden A Liberty Medal should not be given when it is connected to unfathomable loss of life and human suffering. Wrong decision for you to participate. Today is Vets Day and there are thousands of vets who are not the same due to war in Iraq.,,,,,,NEGATIVE
154,.@JoeBiden promises to restore the soul of America. In late pitch #DemocraticDebate,,,,,,POSITIVE
155,"#CNN also conducted a poll in #SouthCarolina, this one is not in #Yang2020's favor. Not many #YangGang in SC? people are overwhelmingly supporting #Biden. 1,200 respondents 420 landline, 780 cellphone. The samples are unweighted, so this poll isnt as credible as the NV poll",,,,,,NEGATIVE
156,I really think a @JoeBiden / @BetoORourke ticket for 2020 is a winner! #please,,,,,,POSITIVE
